symbol,end_val,winner,trades,cagr,median,average,max_drawdown,running_max,version
PODD,"$99,838",Benchmark,114.4,20.51%,"$33,270","$53,877",-67.82%,"$162,453",V2
INTC,"$32,633",Benchmark,151.5,3.87%,"$68,284","$70,717",-89.76%,"$312,357",V2
ICE,"$81,328",Benchmark,68.5,16.99%,"$19,176","$28,067",-78.45%,"$85,597",V2
IFF,"$65,540",Benchmark,137.5,5.56%,"$47,010","$47,305",-61.07%,"$129,408",V2
IP,"$208,869",Benchmark,141.9,7.22%,"$53,535","$68,194",-80.52%,"$253,078",V2
IPG,"$133,136",Benchmark,121.6,8.68%,"$70,209","$87,058",-95.37%,"$352,493",V2
INTU,"$149,720",Benchmark,110.0,13.02%,"$29,014","$52,425",-87.61%,"$250,595",V2
ISRG,"$1,824,030",Benchmark,110.8,35.62%,"$298,872","$460,907",-61.94%,"$2,208,033",V2
IVZ,"$23,021",Benchmark,147.3,4.17%,"$30,788","$31,439",-81.03%,"$71,621",V2
INVH,"$12,295",Benchmark,116.5,3.74%,"$12,477","$12,106",-45.91%,"$16,319",V2
IQV,"$22,291",Benchmark,93.0,10.26%,"$26,200","$25,898",-59.74%,"$54,382",V2
IRM,"$60,819",Benchmark,116.2,9.39%,"$14,698","$19,256",-50.37%,"$95,030",V2
JBHT,"$149,135",Benchmark,126.0,9.93%,"$52,816","$77,672",-62.19%,"$242,178",V2
JBL,"$559,784",Benchmark,157.2,20.06%,"$106,233","$155,610",-96.13%,"$819,317",V2
JKHY,"$408,600",Benchmark,114.8,14.63%,"$63,150","$117,891",-86.49%,"$467,807",V2
J,"$72,182",Benchmark,138.9,6.56%,"$20,178","$25,809",-84.16%,"$94,617",V2
JCI,"$64,925",Benchmark,120.5,7.49%,"$28,267","$31,953",-91.37%,"$107,301",V2
JNPR,"$19,371",Strategy,164.3,3.79%,"$14,134","$13,748",-88.07%,"$27,260",V2
K,"$187,227",Benchmark,126.4,8.48%,"$114,922","$98,392",-64.38%,"$242,676",V2
KVUE,"$14,490",Strategy,104.0,32.51%,"$12,898","$12,388",-18.37%,"$14,737",V2
KDP,"$89,949",Benchmark,78.4,20.74%,"$49,495","$58,015",-30.87%,"$121,797",V2
